Type,Delivery,API,,,,,,,,,,,,,,,,,,,,,,
BULK INGREDIENT,NOT APPLICABLE,ONDANSETRON HYDROCHLORIDE (UNII: NMH84OZK2B) (ONDANSETRON HYDROCHLORIDE - UNII:NMH84OZK2B),1 g  in 1 g,,,,,,,,,,,,,,,,,,,,,250 g in 1 JAR;
HUMAN PRESCRIPTION DRUG,INTRAVENOUS,ONDANSETRON HYDROCHLORIDE (UNII: NMH84OZK2B) (ONDANSETRON - UNII:4AF302ESOS),32 mg  in 50 mL,DEXTROSE (UNII: IY9XDZ35W2),2.5 g  in 50 mL,CITRIC ACID MONOHYDRATE (UNII: 2968PHW8QP),26 mg  in 50 mL,SODIUM CITRATE (UNII: 1Q73Q2JULR),11.5 mg  in 50 mL,WATER (UNII: 059QF0KO0R), ,,,,,,,,,,,,,6 in 1 CASE;50 mL in 1 BAG;
HUMAN PRESCRIPTION DRUG,"INTRAMUSCULAR, INTRAVENOUS",ONDANSETRON HYDROCHLORIDE (UNII: NMH84OZK2B) (ONDANSETRON - UNII:4AF302ESOS),2 mg  in 1 mL,SODIUM CHLORIDE (UNII: 451W47IQ8X),8.3 mg  in 1 mL,CITRIC ACID MONOHYDRATE (UNII: 2968PHW8QP),0.5 mg  in 1 mL,TRISODIUM CITRATE DIHYDRATE (UNII: B22547B95K),0.25 mg  in 1 mL,METHYLPARABEN (UNII: A2I8C7HI9T),1.2 mg  in 1 mL,PROPYLPARABEN (UNII: Z8IX2SC1OH),0.15 mg  in 1 mL,WATER (UNII: 059QF0KO0R), ,,,,,,,,,"1 in 1 CARTON;20 mL in 1 VIAL, MULTI-DOSE; Type 0: Not a Combination Product;5 in 1 CARTON;2 mL in 1 VIAL, SINGLE-DOSE; Type 0: Not a Combination Product;"
HUMAN PRESCRIPTION DRUG,INTRAVENOUS,ONDANSETRON HYDROCHLORIDE (UNII: NMH84OZK2B) (ONDANSETRON - UNII:4AF302ESOS),2 mg  in 1 mL,SODIUM CHLORIDE (UNII: 451W47IQ8X), ,CITRIC ACID MONOHYDRATE (UNII: 2968PHW8QP), ,SODIUM CITRATE (UNII: 1Q73Q2JULR), ,WATER (UNII: 059QF0KO0R), ,,,,,,,,,,,,,5 in 1 CARTON;2 mL in 1 VIAL; Type 0: Not a Combination Product;25 in 1 CARTON;2 mL in 1 VIAL; Type 0: Not a Combination Product;10 in 1 CARTON;2 mL in 1 VIAL; Type 0: Not a Combination Product;
HUMAN PRESCRIPTION DRUG,"INTRAVENOUS, INTRAMUSCULAR",ONDANSETRON HYDROCHLORIDE (UNII: NMH84OZK2B) (ONDANSETRON - UNII:4AF302ESOS),2 mg  in 1 mL,SODIUM CHLORIDE (UNII: 451W47IQ8X), ,CITRIC ACID MONOHYDRATE (UNII: 2968PHW8QP), ,TRISODIUM CITRATE DIHYDRATE (UNII: B22547B95K), ,WATER (UNII: 059QF0KO0R), ,,,,,,,,,,,,,"5 in 1 CARTON;2 mL in 1 VIAL, SINGLE-DOSE;"
HUMAN PRESCRIPTION DRUG,"INTRAVENOUS, INTRAMUSCULAR",ONDANSETRON HYDROCHLORIDE (UNII: NMH84OZK2B) (ONDANSETRON - UNII:4AF302ESOS),2 mg  in 1 mL,SODIUM CHLORIDE (UNII: 451W47IQ8X), ,CITRIC ACID MONOHYDRATE (UNII: 2968PHW8QP), ,TRISODIUM CITRATE DIHYDRATE (UNII: B22547B95K), ,METHYLPARABEN (UNII: A2I8C7HI9T), ,PROPYLPARABEN (UNII: Z8IX2SC1OH), ,WATER (UNII: 059QF0KO0R), ,,,,,,,,,"1 in 1 CARTON;20 mL in 1 VIAL, MULTI-DOSE;"
HUMAN PRESCRIPTION DRUG,"INTRAMUSCULAR, INTRAVENOUS",ONDANSETRON HYDROCHLORIDE (UNII: NMH84OZK2B) (ONDANSETRON - UNII:4AF302ESOS),2 mg  in 1 mL,CITRIC ACID MONOHYDRATE (UNII: 2968PHW8QP), ,SODIUM CHLORIDE (UNII: 451W47IQ8X), ,TRISODIUM CITRATE DIHYDRATE (UNII: B22547B95K), ,WATER (UNII: 059QF0KO0R), ,,,,,,,,,,,,,"5 in 1 CARTON;2 mL in 1 VIAL, SINGLE-DOSE; Type 0: Not a Combination Product;"
HUMAN PRESCRIPTION DRUG,"INTRAMUSCULAR, INTRAVENOUS",ONDANSETRON HYDROCHLORIDE (UNII: NMH84OZK2B) (ONDANSETRON - UNII:4AF302ESOS),2 mg  in 1 mL,CITRIC ACID MONOHYDRATE (UNII: 2968PHW8QP), ,METHYLPARABEN (UNII: A2I8C7HI9T), ,PROPYLPARABEN (UNII: Z8IX2SC1OH), ,SODIUM CHLORIDE (UNII: 451W47IQ8X), ,TRISODIUM CITRATE DIHYDRATE (UNII: B22547B95K), ,WATER (UNII: 059QF0KO0R), ,,,,,,,,,"1 in 1 CARTON;20 mL in 1 VIAL, MULTI-DOSE; Type 0: Not a Combination Product;"
HUMAN PRESCRIPTION DRUG,"INTRAVENOUS, INTRAMUSCULAR",ONDANSETRON HYDROCHLORIDE (UNII: NMH84OZK2B) (ONDANSETRON - UNII:4AF302ESOS),2 mg  in 1 mL,SODIUM CHLORIDE (UNII: 451W47IQ8X),9 mg  in 1 mL,CITRIC ACID MONOHYDRATE (UNII: 2968PHW8QP),0.5 mg  in 1 mL,TRISODIUM CITRATE DIHYDRATE (UNII: B22547B95K),0.25 mg  in 1 mL,WATER (UNII: 059QF0KO0R), ,,,,,,,,,,,,,"25 in 1 CARTON;2 mL in 1 VIAL, SINGLE-DOSE; Type 0: Not a Combination Product;"
HUMAN PRESCRIPTION DRUG,"INTRAVENOUS, INTRAMUSCULAR",ONDANSETRON HYDROCHLORIDE (UNII: NMH84OZK2B) (ONDANSETRON - UNII:4AF302ESOS),2 mg  in 1 mL,SODIUM CHLORIDE (UNII: 451W47IQ8X),8.3 mg  in 1 mL,CITRIC ACID MONOHYDRATE (UNII: 2968PHW8QP),0.5 mg  in 1 mL,TRISODIUM CITRATE DIHYDRATE (UNII: B22547B95K),0.25 mg  in 1 mL,METHYLPARABEN (UNII: A2I8C7HI9T),1.2 mg  in 1 mL,PROPYLPARABEN (UNII: Z8IX2SC1OH),0.15 mg  in 1 mL,WATER (UNII: 059QF0KO0R), ,,,,,,,,,"1 in 1 CARTON;20 mL in 1 VIAL, MULTI-DOSE; Type 0: Not a Combination Product;"
HUMAN PRESCRIPTION DRUG,"INTRAVENOUS, INTRAMUSCULAR",ONDANSETRON HYDROCHLORIDE (UNII: NMH84OZK2B) (ONDANSETRON - UNII:4AF302ESOS),2 mg  in 1 mL,SODIUM CHLORIDE (UNII: 451W47IQ8X), ,CITRIC ACID MONOHYDRATE (UNII: 2968PHW8QP), ,TRISODIUM CITRATE DIHYDRATE (UNII: B22547B95K), ,WATER (UNII: 059QF0KO0R), ,,,,,,,,,,,,,25 in 1 CARTON;2 mL in 1 VIAL; Type 0: Not a Combination Product;
